PRA,Crime Count,Lat,Lon,Mean Pixel Values,Median Pixel Values,Gray_ratio
0,9,39.04984540888889,-76.99029084888889,-1.0,-1.0,-1.0
1,15,38.94494147466666,-77.11892534,69.47717842323651,61.0,0.3400202742357147
2,21,38.9496903952381,-77.10571043714285,56.598853868194844,56.0,0.0
3,64,38.953057558125,-77.11685264640624,70.23720930232558,67.0,0.15257212639291712
4,85,38.956632392235285,-77.10014633600001,71.08291457286433,66.0,0.20090839629849733
5,79,38.960549460506336,-77.0887165836709,85.59154929577464,74.5,0.7673404100625273
6,41,38.96165975609756,-77.08568711560976,114.85714285714286,96.0,1.945054945054945
7,9,38.97289914444444,-77.07914528777779,76.54646840148699,75.0,0.17294218171461123
8,3,38.97134268666667,-77.07692707333334,63.83969465648855,63.0,0.0
9,20,38.98607933,-77.07730048900001,59.970238095238095,60.0,0.023258175908998577
10,25,38.981753415600004,-77.0616453092,54.67058823529412,58.0,0.0
11,40,38.98607963525,-77.06592468250001,57.286852589641434,56.0,0.007073819862725872
12,26,38.97955025615385,-77.07375665961538,68.11111111111111,67.0,0.03230251071647275
13,20,38.9784565645,-77.0794708535,63.68292682926829,58.0,0.13242735289865548
14,29,38.97833439000001,-77.0892479451724,84.85135135135135,75.0,0.5603876739562624
15,75,38.97360693573333,-77.09272724680001,74.328125,72.0,0.2847728623129693
16,32,38.976576738125,-77.1001901865625,91.61764705882354,82.0,0.7087218869994515
17,19,38.96512361263158,-77.0940861463158,59.70454545454545,59.0,0.02357295928307033
18,29,38.96474639793104,-77.10277447689656,85.2258064516129,74.0,0.6132709139018929
19,54,38.962044783703696,-77.10882402259259,89.01948051948052,77.0,0.7265743073047859
20,33,38.96783133606061,-77.12028647787879,66.56231003039514,64.0,0.10724036808575184
21,33,38.96184703121212,-77.12749266030302,59.98421052631579,58.0,0.037379774871810434
22,8,38.969809711249994,-77.14265322124999,60.90635451505017,57.0,0.07987428842504744
23,16,38.972307075625,-77.10703311,69.29799426934098,70.0,0.08433464849354376
24,78,38.98121869192308,-77.11903067282051,73.08856682769726,71.0,0.09497961448457215
25,60,38.97331228666666,-77.13519335933333,62.45742904841402,62.0,0.023052312067598238
26,59,38.98182836508474,-77.12759131288132,78.49122807017544,72.0,0.39151530231400844
27,9,38.988235324444446,-77.11764376111111,54.4,53.0,0.0
28,14,38.987443097857145,-77.11280149142856,52.96190476190476,53.0,0.0
29,21,38.98241837190477,-77.10932798095239,69.57608695652173,69.5,0.008031496062992126
30,26,38.98063064038461,-77.1033529096154,74.03846153846153,74.5,0.013291222529280168
31,159,38.97919017232705,-77.09534173056603,152.14634146341464,155.0,10.984630163304514
32,38,38.981770727894734,-77.0990372305263,93.4,88.0,0.8379248658318426
33,147,38.98219299238096,-77.09537988285713,153.65625,152.0,inf
34,125,38.983346669679996,-77.0917977876,153.26666666666668,161.0,37.747191011235955
35,44,38.982432149090904,-77.08583065863637,83.9,74.0,0.6980680772769089
36,33,38.98435978636363,-77.07104899757577,60.75,59.0,0.029661016949152543
37,23,38.985078298695655,-77.07412939956522,58.03883495145631,59.0,0.0
38,51,38.99237570588235,-77.0714735145098,62.443661971830984,62.0,0.16609679116254603
39,11,38.99751472818182,-77.07277570090909,88.18947368421053,84.0,0.5141876016627508
40,35,38.99236428742857,-77.0775944422857,71.60443037974683,68.0,0.2140251099903423
41,16,38.989000351250006,-77.08440196937501,70.55454545454545,72.0,0.07255389718076286
42,16,38.99446476875,-77.08863643125,76.57142857142857,71.5,0.15417743324720068
43,20,38.990325335,-77.088577191,78.61290322580645,79.0,0.0
44,23,38.99431110086956,-77.09452249565219,85.62068965517241,81.5,0.2942402918947094
45,46,38.9893802002174,-77.09456101217391,115.07692307692308,102.0,1.7126019945602902
46,43,38.98607822395349,-77.08699957930233,115.3170731707317,108.0,2.6202143950995405
47,46,38.98600206586958,-77.09347186043478,115.23684210526316,111.0,3.123352165725047
48,323,38.9881883280805,-77.09675511665635,168.09803921568627,165.0,inf
49,272,38.99049818569853,-77.09793895033087,143.77464788732394,144.0,60.86666666666667
50,37,38.98543672486487,-77.0964182718919,134.38888888888889,132.5,inf
51,12,38.98604881083333,-77.09947755833333,101.02857142857142,83.0,1.349501661129568
52,2,38.984505925,-77.105336835,64.91666666666667,64.5,0.0
53,13,38.98909078307692,-77.10613871461538,72.66292134831461,71.0,0.12352328005559417
54,100,38.99295779039999,-77.10169121099999,93.5421686746988,88.0,0.8208255159474672
55,77,38.99611325168831,-77.10904819935067,92.2394366197183,85.0,1.0021400183430145
56,44,38.9955600575,-77.11462914931819,76.37219730941705,71.0,0.18147762747138396
57,29,38.9974652075862,-77.12366296379311,71.71984435797665,75.0,0.07915690866510539
58,7,38.99106356714287,-77.12431368857142,63.83888888888889,55.0,0.25942569048662867
59,75,38.99095780906667,-77.134532138,61.980427046263344,60.0,0.05232470318117277
60,58,38.995385242413796,-77.14809728224137,60.40563991323211,57.0,0.0914827734880257
61,29,38.983512751034475,-77.14941402310345,61.794612794612796,60.0,0.07242819995909662
62,12,38.97408193500001,-77.15639137333334,59.49305555555556,59.0,0.026971949172860225
63,15,38.97816239866666,-77.16324528266667,60.949367088607595,59.0,0.052689112374289464
64,5,38.978842364,-77.173555794,50.4390243902439,48.0,0.0
65,-1,-1.0,1.0,76.76190476190476,72.0,0.4346742613029548
66,5,39.011231478,-77.12644272399999,67.51515151515152,64.0,0.0699535777173043
67,22,39.00871579136364,-77.13966463227274,55.45192307692308,54.0,0.014736286455813135
68,53,39.00685466773585,-77.12674840584906,77.96428571428571,74.0,0.1585156760287394
69,10,38.973538228,-77.164512426,59.24581939799331,56.0,0.07113919458217438
70,62,39.00675384112903,-77.11612420774193,77.26726057906458,77.0,0.10624661203405504
71,151,39.01172872536424,-77.105806264702,82.63141025641026,76.0,0.4234602324489965
72,53,39.009336312075476,-77.09492525754717,73.99095022624434,69.0,0.27949921752738655
73,50,38.997351015999996,-77.0989175232,135.52941176470588,134.0,6.389169853213272
74,22,38.99938671227273,-77.09444198045453,131.71130952380952,131.0,5.600298284862043
75,4,39.00825922,-77.08428752,73.57627118644068,72.0,0.18186768309283963
76,12,39.000554541666666,-77.07843896166665,50.26190476190476,48.0,0.0
77,44,39.00161207363636,-77.07007480954543,55.222727272727276,52.0,0.06659057986918923
78,-1,-1.0,1.0,65.85714285714286,63.0,0.20725776281331837
79,51,39.00487865313726,-77.05649267588235,90.16930022573364,66.0,1.9038237859842977
80,3,39.013717670000005,-77.05058672333332,80.38235294117646,79.0,0.25194686211635364
81,40,39.01050641625,-77.04226371475,76.61,74.0,0.23246460746460745
82,15,39.008028640666666,-77.04886807933333,94.79797979797979,79.0,1.0002131287297529
83,35,39.00360409257143,-77.04241896142858,86.2482269503546,77.0,0.7036985149901933
84,11,39.00557866636364,-77.04078574181818,87.04651162790698,86.0,0.42211246200607905
85,78,38.99885118730769,-77.050750085,109.50884955752213,101.0,1.8453667509772362
86,78,38.996591452564104,-77.04354036179487,84.4,77.0,0.5186411400604578
87,42,38.99376383833334,-77.04722667452381,97.93333333333334,96.0,1.2110174593618301
88,64,38.993776976875,-77.0340307240625,113.26086956521739,114.0,2.593103448275862
89,147,38.99084279034014,-77.03131708006804,129.1818181818182,131.5,4.782299084435402
90,254,38.988022269645676,-77.0296569648819,159.11111111111111,158.0,inf
91,107,38.98500022831776,-77.0250453995327,142.0,140.0,7.125
92,48,38.987880378125,-77.02390191520833,163.30769230769232,161.5,inf
93,225,38.99111285991111,-77.02517037955556,174.58333333333334,171.0,inf
94,431,38.99192481856149,-77.02726338916474,171.5531914893617,171.0,inf
95,333,38.9961291124024,-77.03060127468468,137.9375,141.0,10.802139037433156
96,53,38.99908628754717,-77.03628411886793,85.26666666666667,80.0,0.6528818816231584
97,24,39.002570007083335,-77.03794167458334,72.59420289855072,70.0,0.02706581915111749
98,15,39.00044703666667,-77.03187255733333,69.10810810810811,72.0,0.0
99,10,39.003847648999994,-77.03334386899999,52.358024691358025,50.0,0.0
100,32,39.0065404596875,-77.0374394415625,58.22727272727273,47.0,0.2781242205038663
