zipcode,mail_city,Number of Crimes,House Price,Population,Gray_ratio,crime/pop,mean of gs,std of gs,mode of gs,sum of values over 100 / sum of values under 100,num of values over 100 / num of values under 100
21770,MONROVIA,0,379600,5164,,0,NaN,NaN,NaN,NaN,NaN
20880,WASHINGTON GROVE,0,,450,,0,NaN,NaN,NaN,NaN,NaN
20705,BELTSVILLE,1,307600,26188,,3.82E-05,NaN,NaN,NaN,NaN,NaN
20777,HIGHLAND,1,624258.3333,3314,0,0.00030175,47.74336283,10.65480904,41,0,0
20896,GARRETT PARK,2,,906,,0.002207506,NaN,NaN,NaN,NaN,NaN
21797,WOODBINE,2,494125,8839,0.104662918,0.00022627,58.96627319,22.33578685,38,0.104662918,0.053285968
20899,GAITHERSBURG,8,,142,2.96749576,0.056338028,108.6115385,36.79110961,102,2.46533317,1.407407407
20993,SILVER SPRING,8,,,,,NaN,NaN,NaN,NaN,NaN
20812,GLEN ECHO,9,,255,0.124783237,0.035294118,59.19011407,20.50195432,44,0.124783237,0.060483871
20707,LAUREL,9,265408.3333,31538,0.089795204,0.00028537,54.85462555,24.43581516,35,0.089795204,0.038901602
20894,BETHESDA,10,,,3.282453152,,126.959596,50.41782953,71,3.282453152,1.605263158
20783,ADELPHI,10,288858.3333,,,,NaN,NaN,NaN,NaN,NaN
20839,BEALLSVILLE,11,,214,0.220426628,0.051401869,74.25429409,23.24248649,81,0.220426628,0.137208194
20838,BARNESVILLE,12,,259,0.248479478,0.046332046,73.25911111,23.80241345,80,0.248479478,0.153846154
20889,BETHESDA,13,,,,,127.6564417,57.42220212,80,4.627586207,1.810344828
21771,MT. AIRY,17,389100,29563,0.198586032,0.000575043,71.64361864,23.6338425,47,0.214511807,0.128954608
20862,BRINKLOW,19,,343,0.15680146,0.055393586,65.9159292,20.90969908,49,0.15680146,0.087845969
20892,BETHESDA,20,,,8.472559698,,140.4409938,46.6104483,49,8.472559698,4.111111111
20868,SPENCERVILLE,28,,790,0.143402964,0.035443038,60.40501319,24.14796689,42,0.143402964,0.067605634
20818,CABIN JOHN,34,838500,1962,0.046722383,0.017329256,58.89586777,15.68989389,52,0.046722383,0.024555461
20842,DICKERSON,42,402375,1824,0.338687521,0.023026316,72.71617145,26.30836713,42,0.338687521,0.19608693
20861,ASHTON,57,554866.6667,1875,0.051252933,0.0304,56.84241855,17.97041108,45,0.051252933,0.026036644
20860,SANDY SPRING,98,580891.6667,2396,0.261699996,0.040901503,70.40535818,26.30076405,49,0.261699996,0.140106242
20837,POOLESVILLE,128,401508.3333,5789,0.392959662,0.0221109,73.62778642,26.77167277,43,0.392959662,0.229816791
20833,BROOKEVILLE,162,543941.6667,7735,0.200868396,0.020943762,67.16570934,23.79588984,45,0.200868396,0.109504557
20882,GAITHERSBURG,295,514466.6667,14063,0.216304832,0.020977032,70.45081589,23.86907186,82,0.216304832,0.125090758
20841,BOYDS,322,594941.6667,10460,0.264256642,0.030783939,69.5133247,26.65441677,42,0.264256642,0.144660587
20816,BETHESDA,345,899833.3333,16208,0.209569896,0.021285785,67.24213921,26.38601389,60,0.209569896,0.096346494
20872,DAMASCUS,407,361775,13104,0.291891958,0.031059219,73.93571636,25.35021028,88,0.291891958,0.170965766
20871,CLARKSBURG,565,428450,13130,0.467366392,0.043031226,72.46032129,32.55645153,40,0.467366392,0.227336743
20905,SILVER SPRING,593,465150,18044,0.12132707,0.03286411,64.53232578,22.77871118,61,0.12132707,0.060929984
20855,DERWOOD,662,464708.3333,14295,0.338710972,0.046309899,69.46284645,33.82961989,40,0.338710972,0.143940868
20866,BURTONSVILLE,727,299866.6667,13344,0.464165506,0.054481415,68.83009938,37.74745434,41,0.464165506,0.193335843
20851,ROCKVILLE,799,356208.3333,14191,0.413751866,0.056303291,77.23319027,30.85436557,82,0.413751866,0.223453909
20895,KENSINGTON,867,600091.6667,19054,0.413474634,0.045502257,77.22976643,34.20135344,66,0.413474634,0.191585761
20832,OLNEY,900,465375,24965,0.332064083,0.036050471,76.74560886,27.44063285,77,0.332064083,0.18411502
20815,CHEVY CHASE,979,867991.6667,29082,0.213124115,0.033663434,67.54514625,27.11697775,62,0.213124115,0.097209302
20854,POTOMAC,1010,878858.3333,49611,0.119089541,0.020358388,64.03747775,21.94083509,47,0.119089541,0.058199484
20853,ROCKVILLE,1032,429875,29673,0.240973848,0.034779092,70.69186352,25.1618478,63,0.240973848,0.131067241
20903,SILVER SPRING,1176,353391.6667,23625,0.825694362,0.049777778,76.74991719,42.8226117,32,0.825694362,0.34297153
20879,GAITHERSBURG,1424,294875,24360,0.761161876,0.058456486,87.66481953,40.87767608,72,0.761161876,0.354635829
20817,BETHESDA,1461,860516.6667,36240,0.261433917,0.04031457,69.30999917,30.55623523,54,0.261433917,0.11489794
20912,TAKOMA PARK,1777,489900,24807,0.579936934,0.071633007,74.7751269,37.36004784,39,0.579936934,0.25
20876,GERMANTOWN,1844,335591.6667,25496,0.614654251,0.072325071,80.56190476,32.87846138,81,0.614654251,0.327126937
20886,MONTGOMERY VILLAGE,1874,257633.3333,33282,0.372454796,0.056306712,80.34197463,26.12950216,88,0.372454796,0.219233356
20814,BETHESDA,1984,711750,27642,0.560699725,0.071774835,83.66675455,34.74958177,72,0.560699725,0.279689609
20901,SILVER SPRING,2128,420575,34832,0.345664067,0.061093248,72.05859132,30.51355761,68,0.345664067,0.171046229
20852,ROCKVILLE,2533,421450,40365,1.009692535,0.062752384,89.1994302,45.721165,59,1.009692535,0.433983287
20878,GAITHERSBURG,2665,523708.3333,62446,0.392642174,0.042676873,75.07208493,31.74733293,72,0.392642174,0.193122234
20877,GAITHERSBURG,3312,334466.6667,34321,1.542286802,0.096500685,101.3997862,43.52046421,80,1.542286802,0.774020228
20850,ROCKVILLE,3402,551091.6667,46340,1.366221582,0.073413897,97.36725364,42.79227109,72,1.366221582,0.675223373
20904,SILVER SPRING,3440,396708.3333,54612,0.693492033,0.062989819,78.95875486,39.74809269,45,0.693492033,0.311075842
20874,GERMANTOWN,3443,284166.6667,57367,0.385607295,0.060017083,73.8297399,30.10594134,39,0.385607295,0.199529771
20906,SILVER SPRING,3471,320966.6667,64696,0.738494205,0.053650921,85.60308775,32.74161068,64,0.738494205,0.401150055
20902,SILVER SPRING,4183,380400,48841,0.614905953,0.085645257,81.34212159,36.59774947,80,0.614905953,0.31190234
20910,SILVER SPRING,4490,536116.6667,37445,1.104927024,0.1199092,90.16933638,45.35768107,59,1.104927024,0.481914092
